"DRESS ""SLIM"" QUEEN SIZE";€79,90;;"A ribbed bodycon contour, the low cut square neck double-face shows your sexy collarbone and perfect shoulder line.   Short sleeves and the front full-length zip closure is convenient and good wearing.
Material: nylon and spandex.
Color: see the picture";XL ;Queen Size;http://s23.postimg.org/6wh3ulljv/DRESS_SLIM_QUEEN_SIZE_79_90.jpg
FISHNET PANTYHOSE - QUEEN SIZE;€11,90;;Fishnet pantyhose . Material: 100% nylon.;L/XL ;Queen Size;
FLIRTY KITTEN DRESS PLUS SIZE;€49,90;;FLIRTY KITTEN DRESS PLUS SIZE . Material: 85% polyester, 15% elastane;XL/XXL;Queen Size;http://s23.postimg.org/jexpb6ijf/FLIRTY_KITTEN_DRESS_PLUS_SIZE_49_90.jpg
GRACE IN LACE NIGHT ROBE, PURPLE XXL/XXXL;€36,90;;"Graceful sheer night robe.  Size: XXL/XXXL
Color: purple
Material: 100% polyamide";XXL/XXXL;Queen Size;http://s23.postimg.org/sdwyfp26z/GRACE_IN_LACE_NIGHT_ROBE_PURPLE_XXL_XXXL_36_90.jpg
HALTERNECK RIVET SHAPER CORSET;€39,90;;2PC. Matching g-string included. Finished in Black PVC Fabric, Halterneck Rivet Shaper Corset is bold, strong, and makes a real statement of intent. This simple black PVC corset could be an item of cyberpunk clothing, gothic club wear, or just lingerie for the eyes of just one person. Features: 10 polyester bones throughout Full metal busk 100% PVC and 100% cotton lining Improves posture Heavy lacing at the back Deep sweetheart cut  Material PVC Color black;S|M|L|XL|;Queen Size;http://s23.postimg.org/9gcqop93v/HALTERNECK_RIVET_SHAPER_CORSET_39_90.jpg
I HOLA GUAPA BLACK XXL/XXXL;€39,90;;"Bring the heat in this beautiful Hola Guapa set. The cami is made of a stretchy floral lace and has a delicate scalloped neckline, lace-up deep V front and full length sleeves.   Thong included.

Size: XXL/XXXL
Color: black
Material: 82% polyamide, 18% elasthan";XXL/XXXL;Queen Size;http://s23.postimg.org/47hpqtqor/I_HOLA_GUAPA_BLACK_XXL_XXXL_39_90.jpg
JEANS CORSET-SKIRT;€22,90;;Jeans Corset-skirt ;S|M|L|X|XXL;Queen Size;http://s23.postimg.org/805tkavkr/JEANS_CORSET_SKIRT_22_90.png
LA DOLCE VITA, PINK XXL/XXXL;€19,90;;"Sleeveless fishnet mini dress with solid stretch fabric centre section, neckline and hem. Fence net cleavage cut out detail. Adjustable shoulder straps.   Color: pink
Material: 92% polyamide 8% elasthan";XXL/XXXL;Queen Size;http://s23.postimg.org/iryslnlnf/LA_DOLCE_VITA_PINK_XXL_XXXL_19_90.jpg
LEOPARD BOW PANTIES XXL/XXXL;€19,90;;"Hipster brief with lace front and tulle back, decorated with a unique leopard print bow and lace ribbons. Color: as shown
Material: 90% polyamide, 10% elasthan";XXL/XXXL;Queen Size;http://s23.postimg.org/6haffbp0b/LEOPARD_BOW_PANTIES_XXL_XXXL_16_90.jpg
LONG TRANSPARENT BLACK BABYDOLL, XXL;€18,90;;"Long transparent black babydoll, XXL . Material: Polyester+Spandex'

Color: black";XXL ;Queen Size;http://s23.postimg.org/hi5kkch97/LONG_TRANSPARENT_BLACK_BABYDOLL_XXL_18_90.jpg
