name;price;sale price;image;Category
FEATHER LOVE CUFFS, BLACK;19.90.jpg;;http://s21.postimg.org/pl6ymz75z/FEATHER_LOVE_CUFFS_BLACK_19_90.jpg;BDSM Cuffs
FEATHER LOVE CUFFS, RED;19.90.jpg;;http://s21.postimg.org/w05zjndvr/FEATHER_LOVE_CUFFS_RED_19_90.jpg;BDSM Cuffs
FEMALE HANDCUFFS; 59.90.jpg;;http://s21.postimg.org/69q0a4jd3/FEMALE_HANDCUFFS_59_90.jpg;BDSM Cuffs
FESSEL LEO;6.40.jpg;;http://s21.postimg.org/dn5e933ev/FESSEL_LEO_6_40.jpg;BDSM Cuffs
FETISH FANTASY SERIES FURRY LOVE CUFF KIT; 56.90.jpg;;http://s21.postimg.org/9s206ik93/FETISH_FANTASY_SERIES_FURRY_LOVE_CUFF_KIT_56_90.jpg;BDSM Cuffs
FF CUMFY CUFFS;24.90.jpg;;http://s21.postimg.org/m98ntofev/FF_CUMFY_CUFFS_24_90.jpg;BDSM Cuffs
FF GOLD DELUXE FURRY CUFFS;23.90.jpg;;http://s21.postimg.org/9abg4ek1z/FF_GOLD_DELUXE_FURRY_CUFFS_23_90.jpg;BDSM Cuffs
FF HEAVY DUTY CUFFS;32.90.jpg;;http://s21.postimg.org/wi5qd8suf/FF_HEAVY_DUTY_CUFFS_32_90.jpg;BDSM Cuffs
FF PINK FURRY CUFFS;19.90.jpg;;http://s21.postimg.org/6qb7wk747/FFLE_LUV_CUFFS_17_90.jpg;BDSM Cuffs
FFLE LUV CUFFS;17.90.jpg;;http://s21.postimg.org/z4l8u6k1z/FF_PINK_FURRY_CUFFS_19_90.jpg;BDSM Cuffs
FURRY CUFFS, CHEETAH;18.50.jpg;;http://s21.postimg.org/96d1aep6v/FURRY_CUFFS_CHEETAH_18_50.jpg;BDSM Cuffs
FURRY FUN, BLACK;13.0.jpg;;http://s21.postimg.org/ezroopq87/FURRY_FUN_BLACK_13_0.jpg;BDSM Cuffs
FURRY FUN, BLUE;11.00.jpg;;http://s21.postimg.org/s6h4o8lxj/FURRY_FUN_BLUE_11_00.jpg;BDSM Cuffs
FURRY FUN, LEO;11.00.jpg;;http://s21.postimg.org/bjzkf5szr/FURRY_FUN_LEO_11_00.jpg;BDSM Cuffs
FURRY FUN, PINK; 13.50.jpg;;http://s21.postimg.org/5yd5b3sav/FURRY_FUN_PINK_13_50.jpg;BDSM Cuffs
FURRY FUN, PURPLE;13.90.jpg;;http://s21.postimg.org/5t9e1fkzr/FURRY_FUN_PURPLE_13_90.jpg;BDSM Cuffs
FURRY FUN, RED;13.50.jpg;;http://s21.postimg.org/847g5lvrb/FURRY_FUN_RED_13_50.jpg;BDSM Cuffs
FURRY FUN, WHITE;13.90.jpg;;http://s21.postimg.org/flgnktlaf/FURRY_FUN_WHITE_13_90.jpg;BDSM Cuffs
FURRY FUN, ZEBRA;11.00.jpg;;http://s21.postimg.org/kx0m2ndon/FURRY_FUN_ZEBRA_11_00.jpg;BDSM Cuffs
FURRY LEG CUFFS, BLACK;15.90.jpg;;http://s21.postimg.org/x05xq7oqv/FURRY_LEG_CUFFS_BLACK_15_90.jpg;BDSM Cuffs
FURRY LEG CUFFS, LEOPARD;15.90.jpg;;http://s21.postimg.org/z608kps7b/FURRY_LEG_CUFFS_LEOPARD_15_90.jpg;BDSM Cuffs
FURRY LEG CUFFS, PURPLE;15.90.jpg;;http://s21.postimg.org/5s4i54phj/FURRY_LEG_CUFFS_PURPLE_15_90.jpg;BDSM Cuffs
GOLD CUFFS;39.90.jpg;;http://s15.postimg.org/vy28kk06j/GOLD_CUFFS_39_90.jpg;BDSM Cuffs
HAND CHAIN WITH STRAPS, BLACK;49.90.jpg;;http://s15.postimg.org/7qd229muj/HAND_CHAIN_WITH_STRAPS_BLACK_49_90.jpg;BDSM Cuffs
HAND CHAINS, BLACK;129.90.png;;http://s15.postimg.org/88csvv1t7/HAND_CHAINS_BLACK_129_90.png;BDSM Cuffs
HEAVY DUTY STAINLESS STEEL NECK-WRIST SPREADER DETACHABLE; 249.jpg;;http://s15.postimg.org/avxnsh5gr/HEAVY_DUTY_STAINLESS_STEEL_NECK_WRIST_SPREADER_D.jpg;BDSM Cuffs
HIGH QUALITY ADJUSTABLE HAND CUFFS;19.90.jpg;;http://s15.postimg.org/49fld1d63/High_Quality_Adjustable_Hand_Cuffs_HIGH_Q.jpg;BDSM Cuffs
"LEATHER ""MITTENS"", BLACK";79.90.png;;http://s15.postimg.org/5jdes36y3/LEATHER_MITTENS_BLACK_79_90.png;BDSM Cuffs
LEATHER CUFFS WITH STUDS;21.9.jpg;;http://s15.postimg.org/5tkxbflkb/LEATHER_CUFFS_WITH_STUDS_21_9.jpg;BDSM Cuffs
LOVE CUFFS, BLUE;11.50.jpg;;http://s15.postimg.org/4q0szh0x7/LOVE_CUFFS_BLUE_11_50.jpg;BDSM Cuffs
LOVE CUFFS, LEO; 12.00.jpg;;http://s15.postimg.org/7cgbges4r/LOVE_CUFFS_LEO_12_00.jpg;BDSM Cuffs
LOVE CUFFS, PINK;12.00.jpg;;http://s15.postimg.org/6kdnh7nxn/LOVE_CUFFS_PINK_12_00.jpg;BDSM Cuffs
LOVE CUFFS, PURPLE;11.50.jpg;;http://s15.postimg.org/rns62pkh7/LOVE_CUFFS_PURPLE_11_50.jpg;BDSM Cuffs
LOVE CUFFS, TIGR 12ю00.jpg;12.00;;http://s15.postimg.org/3u4bk0r8r/LOVE_CUFFS_TIGR_12_00.jpg;BDSM Cuffs
LOVE CUFFS, WHITE;11.50.jpg;;http://s15.postimg.org/vvicxpwiz/LOVE_CUFFS_WHITE_11_50.jpg;BDSM Cuffs
METAL-CUFFS;59.90.jpg;;http://s15.postimg.org/z51dhxa0b/METAL_CUFFS_59_90.jpg;BDSM Cuffs
NECK-WRIST RESTRAINT;239.90.jpg;;http://s15.postimg.org/52wsje8kr/NECK_WRIST_RESTRAINT_239_90.jpg;BDSM Cuffs
OFFICIAL HANDCUFFS;12.90.jpg;;http://s15.postimg.org/jegaoaqqz/OFFICIAL_HANDCUFFS_12_90.jpg;BDSM Cuffs
RED FAUX FUR AND LEATHER HANDCUFFS;14.90.jpg;;http://s15.postimg.org/g3rxof0tn/RED_FAUX_FUR_AND_LEATHER_HANDCUFFS_14_90.jpg;BDSM Cuffs
RESTRAINTS & ANKLE CUFFS;20.90.jpg;;http://s15.postimg.org/dzc612okr/RESTRAINTS_ANKLE_CUFFS_20_90.jpg;BDSM Cuffs
S&M FURRY HANDCUFFS, BLACK;25.90.jpg;;http://s15.postimg.org/4fxvtvbor/S_M_FURRY_HANDCUFFS_BLACK_25_90.jpg;BDSM Cuffs
SOFT CUFFS; 14.90.jpg;;http://s15.postimg.org/ftkf52m7f/SOFT_CUFFS_14_90.jpg;BDSM Cuffs
STAINLESS STEEL RESTRAINT;69.90.jpg;;http://s15.postimg.org/470b3xywb/STAINLESS_STEEL_RESTRAINT_69_90.jpg;BDSM Cuffs
SWEETHEART HAND CUFFS;21.90.jpg;;http://s15.postimg.org/48a8xd0q3/SWEETHEART_HAND_CUFFS_21_90.jpg;BDSM Cuffs
THUMB CUFFS;13.90.jpg;;http://s15.postimg.org/y1lujpeqz/THUMB_CUFFS_13_90.jpg;BDSM Cuffs
ULTRA CUFF SET;24.90.jpg;;http://s15.postimg.org/qznwxib57/ULTRA_CUFF_SET_24_90.jpg;BDSM Cuffs
UNISEX LUXURY DUNGEON IRONS;69.90.jpg;;http://s15.postimg.org/641mm9ey3/UNISEX_LUXURY_DUNGEON_IRONS_69_90.jpg;BDSM Cuffs
BALL GAG WITH BLINDER;14.90.jpg;;http://s13.postimg.org/dczegih3r/BALL_GAG_WITH_BLINDER_14_90.jpg;Masks & Gags
BALL GAG WITH LEATHER STRAPS;39.90.jpg;;http://s13.postimg.org/bnqb8g1ef/BALL_GAG_WITH_LEATHER_STRAPS_39_90.jpg;Masks & Gags
BEGINNER'S BIT GAG;14.50.jpg;;http://s13.postimg.org/bc8uvokyf/BEGINNER_S_BIT_GAG_14_50.jpg;Masks & Gags
BESIRED EYEMASK; 18.90.jpg;;http://s13.postimg.org/3xol0f5ef/BESIRED_EYEMASK_18_90.jpg;Masks & Gags
BLACK BALL GAG;11.90.jpg;;http://s13.postimg.org/pitno1253/BLACK_BALL_GAG_11_90.jpg;Masks & Gags
